ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,1.4453221407927457,1.0710365808882818,33.54748592691437,33,0.13360024321948655,0.17196530627717607,1900
102,adc_b1_ch2,bt_p2,1.6790309247720352,0.8367862985686898,24.414371198667006,27,0.04473758675522165,0.07129271277230295,1950
103,adc_b1_ch3,bt_p3,1.6836625688463274,0.6859333220291326,34.18174222494807,27,0.03448717481128826,0.04397885229998134,2000
104,adc_b1_ch4,bt_p4,1.1177829266240238,0.6452998707609703,44.891941331858554,27,0.041535565736332755,0.0296182853184892,2200
105,adc_b1_ch5,bt_p5,1.8523453225223454,0.8203151392632054,42.45601101475925,27,0.06073935247860918,0.08514436976313718,1950
106,adc_b1_ch6,bt_p6,1.62279728415474,0.6523544874275711,26.361591030489105,27,0.029574706910856598,0.03550523957200144,1800
107,adc_b1_ch7,bt_p7,1.4280200197180226,0.6315393041028494,30.69813274928974,27,0.034854415359429965,0.03470088910643135,2100
108,adc_b1_ch8,bt_p8,1.498629661490163,0.683274579572119,21.535717023569926,27,0.032002577952226385,0.03780790451684492,2100
109,adc_b1_ch9,bt_p9,1.340701004681858,0.7665684909645655,34.144893423754226,27,0.045176819808060834,0.045710381688903026,2125
110,adc_b1_ch10,bt_p10,1.843263336967571,0.6580506526846635,40.476142436064805,27,0.027032961457586237,0.03185470572433991,1975
111,adc_b1_ch11,bt_p11,1.5221885531745636,0.716233353782521,45.169894211879175,27,0.03972898031462107,0.04733846051251487,2000
112,adc_b1_ch12,bt_p12,1.5751106047454375,0.6156714882205748,26.980562941436176,27,0.01890065851016301,0.020795260566579998,1900
113,adc_b1_ch13,bt_p13,1.3785788675555952,0.9976804724982546,27.55735672307355,29,0.07672347241475219,0.10549538259665732,2125
114,adc_b1_ch14,bt_p14,1.500280692800755,0.5790877132162198,47.27811406700236,27,0.034988906341620274,0.032070137670858596,2000
115,adc_b1_ch15,bt_p15,1.6579586235962325,0.830751293313934,30.346536104540277,27,0.02642274471054514,0.040934485845272886,2025
200,adc_b2_ch0,bt_p16,1.7198915050132817,0.7379197085406318,32.966279969016114,27,0.017923437679125298,0.02477584346562502,1900
201,adc_b2_ch1,bt_p17,1.5732928035782756,1.285762624735086,27.954831233037886,27,0.06506550707759026,0.14298694769732484,2125
202,adc_b2_ch2,bt_p18,1.6280546133888918,0.713882388635266,28.751597148348992,27,0.02374723988950172,0.031595751088926136,2150
203,adc_b2_ch3,bt_p19,1.3027550276235196,0.5133157805088071,26.06203861896905,25,0.02186048707796874,0.01912125317302433,1900
204,adc_b2_ch4,bt_p20,1.4932030240202872,0.744216508853109,24.540364150769314,27,0.02500952167839976,0.030282369061969516,2100
205,adc_b2_ch5,bt_p21,1.4383292719237228,0.6292750510621983,38.67136750172545,27,0.021094856221336198,0.020875908395876164,2000
206,adc_b2_ch6,bt_p22,1.6307725029994724,0.6046098022544858,22.88345202841659,27,0.02161109922475286,0.024447617890464183,1800
207,adc_b2_ch7,bt_p23,1.5005092590603488,0.7156498857125149,39.14959643974157,27,0.025559014156061394,0.03014031511752985,1925
208,adc_b2_ch8,bt_p24,1.5118660328117688,1.2208925295962716,36.82309719048828,27,0.11126698922825681,0.21202890378172487,2050
209,adc_b2_ch9,bt_p25,1.7783774060495094,0.8391182572516395,31.69214471908766,27,0.025879141280031975,0.040157553488932976,2000
210,adc_b2_ch10,bt_p26,1.4068810229124435,0.6588513527971351,48.99465650791001,27,0.04844319484131516,0.04969368913190509,1850
211,adc_b2_ch11,bt_p27,1.4159817753414465,0.5622628042534674,15.071591243648657,27,0.012920406912779828,0.011818914905831732,1850
212,adc_b2_ch12,bt_p28,1.5488456120618248,0.7593054286619217,23.341537339806013,27,0.022963444527931955,0.030117563180894015,2050
213,adc_b2_ch13,bt_p29,1.8140863789419157,0.7010945979958495,34.063701903876094,27,0.021184947533379378,0.027516034087823184,2000
214,adc_b2_ch14,bt_p30,1.5332774438704115,0.5653898652036814,19.738063756706644,27,0.021587231485288717,0.02203011458077168,2025
300,adc_b3_ch0,b1_p1,1.4432052653196268,0.707244630809481,27.732224294999256,27,0.03215051941355141,0.034232424282505745,2075
301,adc_b3_ch1,b1_p2,1.2019847061336664,0.5691251617109295,37.004127377307306,26,0.0216622454696995,0.02032155331572685,2225
302,adc_b3_ch2,b1_p3,1.3118152931694291,0.5261658055590924,26.2624098409402,27,0.01575305342842749,0.012996389552401238,2075
303,adc_b3_ch3,b1_p4,1.6450651244205043,0.6677629408991357,54.69663974980997,27,0.025223661309106814,0.030708307814233903,1950
304,adc_b3_ch4,b2_p1,1.3700886805276962,0.49738474796662396,22.285042641927372,27,0.015314400080765912,0.01324453477789039,2225
305,adc_b3_ch5,b2_p2,1.5836855894671074,0.6643127934151544,47.97552269263027,27,0.01815877946044152,0.021780217266617684,2225
306,adc_b3_ch6,b2_p3,1.2830039105729714,0.43535380691062786,29.23994767229957,27,0.015469666782012432,0.01232684376452634,1950
307,adc_b3_ch7,b2_p4,1.5095684365180366,0.5176785835466592,19.415563696855383,22,0.018120596242807135,0.019095382534853555,1850
308,adc_b3_ch8,b3_p1,1.278661783761315,0.4793446125079108,22.84086706326671,23,0.01570405125828802,0.01494948236001386,1975
309,adc_b3_ch9,b3_p2,1.4312964907566053,0.617811007096754,20.3178657505473,27,0.016260492911028948,0.01570100409117443,1900
310,adc_b3_ch10,b3_p3,1.463782283493,0.6547637596634862,25.711334763264762,27,0.018693786102019636,0.019392840510131477,2075
311,adc_b3_ch11,b3_p4,1.600861524238816,0.6939482000695507,18.840221509166984,27,0.01621858012946418,0.020704533938528887,2000
312,adc_b3_ch12,b4_p1,1.23239037968121,0.471905280581231,28.382107386593383,27,0.01542525586177327,0.011447110802163691,2100
313,adc_b3_ch13,b4_p2,1.4461710544700916,0.8066671253919699,33.50907476555084,27,0.04681596347515199,0.057439919049602384,1950
314,adc_b3_ch14,b4_p3,1.6509947160491416,0.6274743519039756,33.26494976207139,27,0.02798141145253671,0.032943130342142864,2025
315,adc_b3_ch15,b4_p4,1.2335381720727765,0.5495977767342204,21.50626592432687,21,0.03825252231195533,0.04479344339423319,2250
