ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,0.9872519328822231,0.45489604187202337,25.739692517573285,27,"[0.062250295654534105, 0.06904634324905246]","[0.04259791578626415, 0.0599091756805028]",2100
102,adc_b1_ch2,bt_p2,0.9438114957759353,0.3759309115386107,52.301073206844244,27,"[0.032726476091759604, 0.042773232899982916]","[0.030637313820308154, 0.040974037187504475]",1870
103,adc_b1_ch3,bt_p3,0.9725047532106537,0.3951265185093223,32.0918980812049,28,"[0.03169943615987769, 0.03757993822235628]","[0.029488583404985003, 0.03473394581805739]",1850
104,adc_b1_ch4,bt_p4,0.9670739816967923,0.3664692252422043,38.42337745554552,28,"[0.026328695293234894, 0.03165344901911571]","[0.023491473621253978, 0.034183141691674745]",2200
105,adc_b1_ch5,bt_p5,1.0238823065212481,0.45357352973869464,41.792392431876884,28,"[0.04108767202492536, 0.04094974708796717]","[0.0284383183852584, 0.038363007741418265]",1790
106,adc_b1_ch6,bt_p6,0.9833702308794269,0.3834461612548611,49.05511042661399,27,"[0.025494891187285984, 0.042841482982296175]","[0.02851155309745701, 0.033075273888759305]",1680
107,adc_b1_ch7,bt_p7,1.0303898230229567,0.50392547282848,28.999449670195297,28,"[0.060989888660542446, 0.059913254987634]","[0.03817733722829292, 0.048496367754046976]",2000
108,adc_b1_ch8,bt_p8,0.9443555553670735,0.3974594418395432,48.421997066736566,28,"[0.02891318014967692, 0.04532611886864568]","[0.03348348355706965, 0.03377459154669815]",1960
109,adc_b1_ch9,bt_p9,0.944253793287913,0.40312918515462776,51.985200403493934,27,"[0.027766198796645658, 0.039637026828018285]","[0.02734236492938724, 0.03184508959267435]",2010
110,adc_b1_ch10,bt_p10,0.993266654143977,0.3519454097970736,61.25794629489242,28,"[0.020548560691569406, 0.02747786744033931]","[0.020637912137606074, 0.02747962435808765]",1800
111,adc_b1_ch11,bt_p11,0.9781973808000473,0.4052211750569681,44.260732458239644,28,"[0.027231361758742745, 0.03662737088603141]","[0.026952500947163782, 0.030588213394269148]",1850
112,adc_b1_ch12,bt_p12,0.9918838194431526,0.3875607948074809,25.910457867643885,28,"[0.032741038819331325, 0.03782233729372331]","[0.029136841369879984, 0.03748699765448954]",1780
113,adc_b1_ch13,bt_p13,1.0162545298689603,0.44860268764521355,50.95114061762008,27,"[0.037937861319906396, 0.05481490919658838]","[0.03078256662506912, 0.04187168335458025]",1930
114,adc_b1_ch14,bt_p14,1.0079705541191843,0.3972887416805447,52.898620193564014,28,"[0.036936667102792864, 0.039453608567324716]","[0.029722697455745017, 0.04213797063326202]",1900
115,adc_b1_ch15,bt_p15,1.0045456268490176,0.4408548024893555,30.635534900361552,28,"[0.03539847391948925, 0.03907093476615087]","[0.0280444896175861, 0.03413907047475406]",1880
200,adc_b2_ch0,bt_p16,0.9832915354621254,0.4368937467532639,48.618279718373365,27,"[0.030784037650486318, 0.0412672450242908]","[0.025699240016690605, 0.03260570244400357]",1750
201,adc_b2_ch1,bt_p17,0.9552297040307954,0.48104410089699423,45.81862561005854,28,"[0.04220398449929197, 0.049239720740370196]","[0.029529425322091796, 0.039849676876369866]",1940
202,adc_b2_ch2,bt_p18,0.9970082537557702,0.40352177152008556,46.67911777048393,28,"[0.02799932760441537, 0.038001297305366166]","[0.026974927994224462, 0.03292283496578824]",2000
203,adc_b2_ch3,bt_p19,1.0042915878161942,0.37068952989572346,34.87780922578687,28,"[0.02272344990141173, 0.031369143194106996]","[0.023750691772951416, 0.028320960635191184]",1820
204,adc_b2_ch4,bt_p20,1.0012177704989842,0.465478520324456,53.17839084294122,28,"[0.04611776465936668, 0.05996442030796345]","[0.034199204641147674, 0.04969716196762419]",2010
205,adc_b2_ch5,bt_p21,1.0011175187724168,0.46189035719535587,49.10098289025281,27,"[0.05292323829137424, 0.054552031245295396]","[0.03402015310946638, 0.048820716923404284]",1910
206,adc_b2_ch6,bt_p22,1.0012061486689512,0.3873116503541804,36.683615730745956,28,"[0.031782606729324314, 0.03589332535980683]","[0.028066147270690955, 0.03603270160231681]",1690
207,adc_b2_ch7,bt_p23,1.0059809689415227,0.48195418278916013,39.581046169140244,27,"[0.056550411122356925, 0.0546399493205465]","[0.03399771403555729, 0.047102608349068764]",1820
208,adc_b2_ch8,bt_p24,0.9577235259000944,0.4078882601119579,109.75278716021685,28,"[0.021275918052794718, 0.04971868097212606]","[0.030739747874343304, 0.028959717930617357]",2140
209,adc_b2_ch9,bt_p25,1.0092245824343273,0.4371810655211834,36.626535916559305,28,"[0.03591601079838935, 0.04543035729989309]","[0.030399080132752054, 0.037990511598863796]",1860
210,adc_b2_ch10,bt_p26,1.0235659071022796,0.48419964976039376,47.192761381400494,28,"[0.04402233348311135, 0.045537920492011]","[0.02839323812910749, 0.03915060339478038]",1760
211,adc_b2_ch11,bt_p27,0.9721439532582382,0.4071559851390953,55.53416780433346,27,"[0.029735108370520624, 0.04203774978692143]","[0.028671644156142095, 0.03384061662372817]",1750
212,adc_b2_ch12,bt_p28,1.0309725867697281,0.5038318372307526,40.48586493039879,28,"[0.048748553756173374, 0.0574998068581718]","[0.03374203389901376, 0.042583077185381124]",1930
213,adc_b2_ch13,bt_p29,1.0184017649346635,0.39248991270347877,40.85827417237205,27,"[0.02794252586812207, 0.032317841597131025]","[0.02353046977252149, 0.03130408895417913]",1860
214,adc_b2_ch14,bt_p30,0.9663019258375476,0.340328208746179,90.91850064280008,28,"[0.014547504682958401, 0.03037796126569592]","[0.021743075714420357, 0.020818722364249198]",1910
300,adc_b3_ch0,b1_p1,0.9436302592968505,0.36969187131532893,53.38109057551764,28,"[0.026880839773425924, 0.04322619270379635]","[0.03183244674426888, 0.034844767595135384]",1960
301,adc_b3_ch1,b1_p2,0.9930193515919581,0.4317290477845217,41.39395874122187,28,"[0.0380430089180992, 0.040561252232403255]","[0.028452114217855096, 0.0392427053474792]",2120
302,adc_b3_ch2,b1_p3,1.1171162220084454,0.42015808416934003,34.63316468767409,27,"[0.05615677510583139, 0.05282789766626084]","[0.03830634388598336, 0.05560350134278397]",2040
303,adc_b3_ch3,b1_p4,0.8919577868624342,0.324217599781735,53.83479205419584,28,"[0.0282093060089319, 0.04809765213734685]","[0.040027536008209574, 0.03529804343326842]",1910
304,adc_b3_ch4,b2_p1,0.9899130855999726,0.3688104523682386,24.129545127685617,28,"[0.03180074580760317, 0.026554172012318467]","[0.02450820190526859, 0.03273575441629095]",2150
305,adc_b3_ch5,b2_p2,0.994625247502776,0.4359909878490695,66.41349171277086,28,"[0.03274935676124224, 0.0400381192631184]","[0.025792496641400764, 0.0361840054765486]",2030
306,adc_b3_ch6,b2_p3,0.9931402019333241,0.36530451217490983,39.20195354027383,28,"[0.029120692773848877, 0.02814954135733816]","[0.02555726910891659, 0.03084152017004055]",1870
