ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,1.0318824315500876,0.5264319838049087,44.576071231638956,27,"[0.05989396564909, 0.056717044146140205]","[0.0318979096632277, 0.04412370127930254]",2100
102,adc_b1_ch2,bt_p2,0.954693353940529,0.4167724409334559,43.59616849644874,27,"[0.028150821396255132, 0.04019030144003588]","[0.02670330016295741, 0.031180347868297265]",1870
103,adc_b1_ch3,bt_p3,0.995054224942696,0.4188976571159796,48.80976661056112,28,"[0.031133093627689457, 0.03580511197658842]","[0.026737196345766323, 0.03232369158989723]",1850
104,adc_b1_ch4,bt_p4,0.9678588243254438,0.380833849072411,52.53548186014162,28,"[0.02465825874726002, 0.03403742470501503]","[0.02499338355805114, 0.030862557562615578]",2200
105,adc_b1_ch5,bt_p5,1.0070088265276955,0.45131337762845136,30.71383266322831,27,"[0.039744685149429415, 0.040252074877145994]","[0.027249863209164227, 0.0355136579655444]",1790
106,adc_b1_ch6,bt_p6,0.9883870122895172,0.4038036014412971,35.43434402969728,28,"[0.031129641118485263, 0.040422227063801164]","[0.029446066456420283, 0.03537348138236207]",1680
107,adc_b1_ch7,bt_p7,0.98503973495419,0.43605641537671597,38.32003950441439,27,"[0.055531477159645126, 0.050509973516359]","[0.035217996316359856, 0.052278064813459146]",2000
108,adc_b1_ch8,bt_p8,0.946097817559914,0.39588876282427937,85.05011279765476,28,"[0.02824404851169504, 0.05467460257881296]","[0.03692730723792753, 0.03773677217656363]",1960
109,adc_b1_ch9,bt_p9,0.9420249455824099,0.40399639848193186,117.6713371900113,28,"[0.021361079371416736, 0.054121475269908736]","[0.031210842369293557, 0.03213551674326037]",2010
110,adc_b1_ch10,bt_p10,1.0044985679656042,0.34979229451224064,44.29127494765412,28,"[0.018683480584395173, 0.026411422733323642]","[0.020500979663414187, 0.02409839187199042]",1800
111,adc_b1_ch11,bt_p11,0.9688331865696337,0.40029571260431157,77.48069992785383,28,"[0.02303635038894114, 0.03786627515323804]","[0.023876280831455376, 0.0309005128488955]",1850
112,adc_b1_ch12,bt_p12,0.9740224362983657,0.3619259755456447,46.38805009434851,28,"[0.033925643361312985, 0.0404373946219162]","[0.03435579672042016, 0.03942549956390928]",1780
113,adc_b1_ch13,bt_p13,0.999065637407954,0.4026946015418434,60.286566311815605,28,"[0.030269420961603344, 0.0476328416660311]","[0.031823049032367046, 0.0386190120039443]",1930
114,adc_b1_ch14,bt_p14,0.9958132956821188,0.41235763073344384,29.272574283320623,28,"[0.04391869194871667, 0.04996284706753906]","[0.03512867206397735, 0.0493613527390116]",1900
115,adc_b1_ch15,bt_p15,0.9789312418408886,0.4311418787494981,44.721864639046586,27,"[0.04157768053287769, 0.042316641866182225]","[0.029373908822883765, 0.040386657617846156]",1880
200,adc_b2_ch0,bt_p16,0.9888457643416867,0.44117933537351145,72.93378902152281,27,"[0.03152526128461186, 0.03801035980236256]","[0.024026016966980868, 0.03214464304212211]",1750
201,adc_b2_ch1,bt_p17,0.9546228458596234,0.4874802833251562,61.3986634431879,28,"[0.04522033191426822, 0.05587286427896909]","[0.03258744997020735, 0.04325405651147135]",1940
202,adc_b2_ch2,bt_p18,0.9811794367298491,0.3931191312471085,59.38290896810548,27,"[0.02377883994321739, 0.03853522828937994]","[0.025487719553664634, 0.029806655321760356]",2000
203,adc_b2_ch3,bt_p19,0.9986878216710048,0.379817333718002,64.39860929237065,28,"[0.021286481545776947, 0.032240299970188624]","[0.023721196699642733, 0.0266537463038497]",1820
204,adc_b2_ch4,bt_p20,0.995409798219754,0.4464901821317482,29.71948993874424,27,"[0.05175837488976531, 0.05611706789955295]","[0.037191618412127925, 0.048882553967213416]",2010
205,adc_b2_ch5,bt_p21,1.0054501057389322,0.44101370916212174,28.39224439271343,27,"[0.04954390285651433, 0.05095867299487811]","[0.03478393345121772, 0.04638530727011875]",1910
206,adc_b2_ch6,bt_p22,0.9961082707640028,0.3706325815476253,25.5024814585722,28,"[0.03232955822198025, 0.03880667836640761]","[0.029877501347596813, 0.03954824284000463]",1690
207,adc_b2_ch7,bt_p23,0.9644356618060743,0.5128338708243327,35.444898489128185,27,"[0.06131959082656013, 0.07035551623143088]","[0.03824186899900073, 0.05060572269624253]",1820
208,adc_b2_ch8,bt_p24,0.939543240373597,0.41788826237359084,84.29701809524715,28,"[0.0310814835792409, 0.044594904933630275]","[0.02912133322540572, 0.037818836733059136]",2140
209,adc_b2_ch9,bt_p25,1.0198410881018254,0.46095341331583445,22.84586050163896,28,"[0.04244443319815283, 0.048375612695876535]","[0.03203800655599398, 0.04002816582001362]",1860
210,adc_b2_ch10,bt_p26,1.0264646913966586,0.4431233070564186,43.43771995894485,28,"[0.03883031425786443, 0.03893827056298549]","[0.02774253736652349, 0.037222195516137424]",1760
211,adc_b2_ch11,bt_p27,0.9834575380595042,0.38222967124667734,28.022149919983775,27,"[0.03192331299524842, 0.03628024696865173]","[0.028922682795902654, 0.03440510300726546]",1750
212,adc_b2_ch12,bt_p28,1.0131479461521784,0.4793022957821512,49.032741513707016,28,"[0.045391529037912215, 0.06264078790903804]","[0.03435185063612012, 0.04744314564115615]",1930
213,adc_b2_ch13,bt_p29,1.0031573574563821,0.39326338723978765,35.9735215713525,28,"[0.028503092319602796, 0.03891669970911993]","[0.027177274792617723, 0.035398265401115514]",1860
214,adc_b2_ch14,bt_p30,0.9428216355688677,0.3294869476422559,117.71056872584907,28,"[0.011886169712975958, 0.0371898645319092]","[0.02732485291192116, 0.01648540804014531]",1910
300,adc_b3_ch0,b1_p1,0.9440899920487287,0.3938228127292471,40.83200097025083,28,"[0.02958758673553674, 0.04251556688676583]","[0.03181902760927374, 0.0345712683354395]",1960
301,adc_b3_ch1,b1_p2,0.9732912020607376,0.45586374779419114,46.925473004473794,27,"[0.039690828627846564, 0.042715860293709884]","[0.02785849471917312, 0.03631690410207322]",2120
302,adc_b3_ch2,b1_p3,1.1174577845227223,0.4358979454406196,39.331273212981564,27,"[0.03953665788011085, 0.03543555629522199]","[0.02657184283501096, 0.03477951594099432]",2040
303,adc_b3_ch3,b1_p4,0.8923458950032916,0.3339787702767828,92.08279938191536,28,"[0.016750011733588588, 0.050851923195996296]","[0.03339481936071409, 0.02670872093232146]",1910
304,adc_b3_ch4,b2_p1,0.9826285149121654,0.3888866081511911,31.48988069741895,27,"[0.030047727593223827, 0.03429980470952665]","[0.02598471766806132, 0.03293929385142924]",2150
305,adc_b3_ch5,b2_p2,0.9733849829720552,0.42789733528404095,54.83833895665132,28,"[0.0312543080128479, 0.03880301239054462]","[0.026384477720379773, 0.03402363608040071]",2030
306,adc_b3_ch6,b2_p3,1.0020780075206308,0.35067786049541316,27.184439388197607,28,"[0.022336130300045776, 0.025297642385057717]","[0.0214839418012861, 0.026321173031264244]",1870
307,adc_b3_ch7,b2_p4,1.0266888705338724,0.35467868941758657,31.040306505674458,28,"[0.029728375768752646, 0.028765466230431747]","[0.02433761697862069, 0.03531308667678451]",1820
308,adc_b3_ch8,b3_p1,0.9964269444541184,0.3505207640865215,53.222236403406406,28,"[0.02407167431773216, 0.02604193040160785]","[0.0203083395574421, 0.03131559865915806]",1920
309,adc_b3_ch9,b3_p2,0.9866420798386054,0.3890349800255499,60.80672197435032,27,"[0.028321711326482313, 0.029554474218571936]","[0.024059429535576715, 0.02918830866677291]",1840
310,adc_b3_ch10,b3_p3,1.0605598661190199,0.49237189425493577,27.185439083648873,28,"[0.04389150846572587, 0.043866626471662284]","[0.0289325586666222, 0.03549891968314456]",2010
311,adc_b3_ch11,b3_p4,1.0069927008778665,0.4456619460275633,61.05101697443414,28,"[0.036955342867623475, 0.0605306366922298]","[0.03483774031828624, 0.044494111829503635]",1910
312,adc_b3_ch12,b4_p1,1.0183684826246313,0.39493963988928366,47.518538671475596,27,"[0.03771577992447983, 0.03325196051184576]","[0.0274497994948682, 0.037332932573152344]",2000
313,adc_b3_ch13,b4_p2,0.972342287473214,0.43456446054475795,58.051493969367066,28,"[0.028596715173895837, 0.043388534106377]","[0.02679557777498426, 0.03345302892224589]",1880
314,adc_b3_ch14,b4_p3,0.993153134699343,0.3437482590775059,76.65756831972021,28,"[0.019687443317308873, 0.023375517625512154]","[0.01680031850929642, 0.02832922893184836]",1940
315,adc_b3_ch15,b4_p4,1.0123200110549502,0.4102356363043906,37.95245465238238,28,"[0.03540169274896987, 0.04246495636504499]","[0.03009037328666997, 0.04009337235305205]",2220
400,adc_b4_ch0,b5_p1,0.9420259080222513,0.39111217530712344,32.40233869706863,27,"[0.02947030883972379, 0.03243192394215666]","[0.024880167524038654, 0.03156421348876004]",1990
401,adc_b4_ch1,b5_p2,1.1666015479666334,0.4047939198595201,53.58464647930907,28,"[0.029911138717500396, 0.028913984559768124]","[0.022464530739274235, 0.03175423495480034]",2150
402,adc_b4_ch2,b5_p3,0.9740918532300502,0.3545283693349909,67.92803806713279,28,"[0.018566247386696766, 0.025759815382329965]","[0.018863531858384908, 0.025344320836401868]",1880
403,adc_b4_ch3,b6_p1,0.9945792778659099,0.46215778221835213,35.65587366864511,28,"[0.03401967860098054, 0.03963517968127017]","[0.025746735578601077, 0.032516624966565266]",1980
