ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,1.002709310764751,0.5074739968429209,28.246836635699683,28,"[0.06629631461952457, 0.06924669309479259]","[0.04189974665705942, 0.054691907344078805]",2100
102,adc_b1_ch2,bt_p2,0.9403308012894431,0.40928668220815245,66.62932040564583,27,"[0.027051584349353508, 0.03283993994784562]","[0.022938689937599843, 0.029446208291800502]",1870
103,adc_b1_ch3,bt_p3,0.9827916987088429,0.37647164870651034,53.09816865524229,27,"[0.02143291236982936, 0.03143840703340228]","[0.022363344244605232, 0.02668320935427465]",1850
104,adc_b1_ch4,bt_p4,0.9771944327097606,0.3555702155393166,57.95223539407182,28,"[0.023656480659574597, 0.024967226642428786]","[0.02009088910128931, 0.029336061941850122]",2200
105,adc_b1_ch5,bt_p5,0.9916998170214383,0.43161851436611665,34.1305293723752,28,"[0.03339092551919953, 0.0379575590805904]","[0.02774671632422554, 0.033134044582762645]",1790
106,adc_b1_ch6,bt_p6,0.9919841933195471,0.3717228282176917,40.21160075109829,28,"[0.023395529284304772, 0.029805089659132977]","[0.02373748834367423, 0.02766254017971309]",1680
107,adc_b1_ch7,bt_p7,0.9925336285683848,0.4159763413689237,48.29032656287878,28,"[0.03300630462800069, 0.037243461674510314]","[0.027083908822955305, 0.035551200683705764]",2000
108,adc_b1_ch8,bt_p8,0.9356277193516006,0.375727962344403,66.00297858881746,28,"[0.021705651618224464, 0.03693575176568853]","[0.02643557181350764, 0.028270181004642403]",1960
109,adc_b1_ch9,bt_p9,0.9471757950671238,0.42845249397262386,65.73877164771582,27,"[0.02192406116591683, 0.034539194469972]","[0.021227802245012084, 0.02461431335154618]",2010
110,adc_b1_ch10,bt_p10,0.9785393864266996,0.3469075086313824,94.96999968640357,27,"[0.013566078373391521, 0.02366254065910911]","[0.016933549806393278, 0.018680368010866477]",1800
111,adc_b1_ch11,bt_p11,0.9517222354148418,0.39268979881391397,98.28749809445922,27,"[0.017311702148339325, 0.033234456504792176]","[0.020654323372063632, 0.023206902935887008]",1850
