ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,1.0364281335522447,0.529983237312174,32.130170872828,27,"[0.04921880255742184, 0.04646618947184411]","[0.027665293195265894, 0.03392455567206687]",2100
102,adc_b1_ch2,bt_p2,0.9545617260736506,0.40550689960746406,99.23621585216328,28,"[0.02120049197905982, 0.033366135763973515]","[0.02151409133812182, 0.027379883281906603]",1870
103,adc_b1_ch3,bt_p3,0.9837465056120787,0.4169340544908145,56.319459813218955,27,"[0.024472809760657466, 0.030958243397618768]","[0.021089727640335842, 0.026141083219951733]",1850
104,adc_b1_ch4,bt_p4,0.9704331320766525,0.3638815207465764,52.670944070435084,28,"[0.02057422119001584, 0.024375795074691342]","[0.018950311741761205, 0.02570201964623875]",2200
105,adc_b1_ch5,bt_p5,0.9940154925717253,0.44498010986269443,60.07717847857013,27,"[0.029646663432617903, 0.03876837343592299]","[0.02405646559514657, 0.030275975187343707]",1790
106,adc_b1_ch6,bt_p6,0.9948165271312193,0.38171076933508563,59.17208274872721,28,"[0.022643962836305875, 0.03362440411842127]","[0.024375298609425833, 0.028533951705514204]",1680
107,adc_b1_ch7,bt_p7,0.982066136865938,0.4392839184214344,40.961993831902774,28,"[0.036142352251006926, 0.05542797037298697]","[0.03618917656795223, 0.0397015174684166]",2000
108,adc_b1_ch8,bt_p8,0.9173553656728433,0.38963145270643396,57.335218479529125,27,"[0.03364261559486348, 0.04925456979368903]","[0.03452438119302759, 0.04142093400582458]",1960
109,adc_b1_ch9,bt_p9,0.9365060808835804,0.4438139818366215,94.85656607389986,27,"[0.027518122398337508, 0.04394567031591168]","[0.023885069487575683, 0.03247204655314023]",2010
110,adc_b1_ch10,bt_p10,0.987841773404233,0.3500498592533401,78.48730474531871,27,"[0.014229305135571857, 0.023983008428972163]","[0.017653118665043488, 0.018785482101348894]",1800
111,adc_b1_ch11,bt_p11,0.9725984473883492,0.39951485533309755,106.5509136865069,28,"[0.018131462291039235, 0.03329415903897337]","[0.021793603634885028, 0.02371997531282166]",1850
112,adc_b1_ch12,bt_p12,0.9792098677112874,0.3682933526113702,45.450357447791255,27,"[0.034777358143119, 0.03112615833916388]","[0.026710484389676603, 0.03705075185801332]",1780
113,adc_b1_ch13,bt_p13,0.8835681071224647,0.599659709993374,601.6727895300759,26,"[0.1583613501358878, 0.1261521378399345]","[0.0499685924724399, 0.263128880009147]",1930
114,adc_b1_ch14,bt_p14,0.9999996922379063,0.40010508713578574,588.3010796968373,28,"[0.06524344166341167, 0.007447487727184954]","[0.009395778337127236, 0.2341740543711447]",1900
115,adc_b1_ch15,bt_p15,0.9998460540082104,0.40000001397838847,1032.8053984487183,29,"[0.1641314801857613, 0.00046263206734331597]","[0.014825439971214327, 0.10676880255926424]",1880
200,adc_b2_ch0,bt_p16,0.9999998569013205,0.40000000463804636,485.6905959607225,28,"[0.017106289642631833, 0.01437458858558116]","[0.004473877005000182, 0.07394409265426533]",1750
