ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,0.9852507029831185,0.4911117444438254,20.634254162694063,27,"[0.07760137386750143, 0.08334372238414856]","[0.04796762506385682, 0.06637232544767707]",2100
102,adc_b1_ch2,bt_p2,0.9641247711946596,0.43477681800961937,53.394260171287215,28,"[0.044417879280837735, 0.054825499373082676]","[0.035287138290301, 0.05017421073313516]",1870
103,adc_b1_ch3,bt_p3,0.988526153667553,0.4035870705185407,45.38576429172766,27,"[0.032600936801202574, 0.04207396425539767]","[0.02902383214346127, 0.03682017661484305]",1850
104,adc_b1_ch4,bt_p4,0.9862286822510484,0.37485981667133184,52.5393991912193,27,"[0.030145336998994354, 0.03132357182814238]","[0.02350309733127598, 0.03590385542672658]",2200
105,adc_b1_ch5,bt_p5,1.011527898163198,0.5059124903392487,38.35727863638302,27,"[0.0527825226277957, 0.05280413141536]","[0.03104055974814024, 0.04123044755404548]",1790
106,adc_b1_ch6,bt_p6,1.013688527679906,0.3844754036774735,49.377626092124196,28,"[0.027910540235824843, 0.0404895506238756]","[0.028916614757175607, 0.03522910765202675]",1680
107,adc_b1_ch7,bt_p7,1.026213842749641,0.48386133387917823,38.852455354169535,27,"[0.05134145797349943, 0.06476595495565096]","[0.03668681286690728, 0.04718563514437596]",2000
108,adc_b1_ch8,bt_p8,0.9705446672965904,0.43410462650990067,63.42520916497137,27,"[0.03462534598624989, 0.05658282258824776]","[0.03344412627027116, 0.04017401977207258]",1960
109,adc_b1_ch9,bt_p9,0.9795815586993123,0.45707055509721983,48.24119911857173,28,"[0.03648794358868779, 0.04777927773098811]","[0.030680135679209408, 0.036692019506324336]",2010
110,adc_b1_ch10,bt_p10,0.9962683539475364,0.3530937947234335,52.646695438890475,28,"[0.02232535596637475, 0.026845874373316092]","[0.02038198586179729, 0.02954121820783373]",1800
111,adc_b1_ch11,bt_p11,0.974897576304471,0.399296430745327,54.40285703615793,27,"[0.026957064469535386, 0.03838833682450005]","[0.024974305261613372, 0.03299240375497353]",1850
112,adc_b1_ch12,bt_p12,0.9945021111423789,0.3821870888202818,43.843675865308285,28,"[0.03481373296665358, 0.03616155226753892]","[0.028627875046062734, 0.04018632856842902]",1780
113,adc_b1_ch13,bt_p13,1.0024005523790984,0.44793044715570657,51.84788667198611,27,"[0.041270045897835006, 0.05205143425966807]","[0.030818456821061435, 0.043326280281372365]",1930
114,adc_b1_ch14,bt_p14,1.0015019540787384,0.4145369911871316,26.451504944279108,28,"[0.04263007687843334, 0.04142562825309337]","[0.03255648641418707, 0.04260111443550618]",1900
115,adc_b1_ch15,bt_p15,1.0073564596536735,0.4498279301932718,45.606231521564986,27,"[0.03932111866054577, 0.03992955269020193]","[0.026103143593216138, 0.03665971336612345]",1880
200,adc_b2_ch0,bt_p16,0.9927780817452244,0.42587514653096287,84.5483223738082,28,"[0.029246417528073443, 0.03959842689112503]","[0.02554497071858547, 0.03443469850872144]",1750
201,adc_b2_ch1,bt_p17,0.9743046823194591,0.5239259546937889,36.140768461598626,27,"[0.04951086811687466, 0.06082189709017227]","[0.031730073763727495, 0.04014026212337507]",1940
202,adc_b2_ch2,bt_p18,0.9955938688301784,0.40305901552138135,48.67366476532489,28,"[0.031434773975119956, 0.03632206660375559]","[0.025074334812632326, 0.03773143097265119]",2000
203,adc_b2_ch3,bt_p19,0.973205312024765,0.3585818637696282,64.13859611529561,28,"[0.0181536029976076, 0.03499963230252012]","[0.026279734675377198, 0.0237956623158892]",1820
204,adc_b2_ch4,bt_p20,1.0066426414316698,0.4949778698250452,38.37635419079819,27,"[0.06090317398632972, 0.06324892616141886]","[0.03629102576460791, 0.051426762628764666]",2010
205,adc_b2_ch5,bt_p21,1.024258068457522,0.4675370207163443,36.26045018871124,28,"[0.05506865152740281, 0.055558213624516295]","[0.035977007987556764, 0.051158263787184244]",1910
206,adc_b2_ch6,bt_p22,1.0087599117165578,0.4026084648443584,51.72783452114875,27,"[0.03396912403742758, 0.041714768958747594]","[0.029113182295187667, 0.03827901221382435]",1690
207,adc_b2_ch7,bt_p23,0.9909480779118629,0.4462279358167964,22.60153991054796,27,"[0.04716823710809703, 0.05144395230394294]","[0.03455515707809814, 0.04388334726469806]",1820
208,adc_b2_ch8,bt_p24,0.9371499312466927,0.43944171693822254,55.273398324395195,27,"[0.033429853036927026, 0.04596760793154686]","[0.02842397213899428, 0.035464588026218546]",2140
209,adc_b2_ch9,bt_p25,1.0421638644680906,0.4503982279269742,37.95983463627329,28,"[0.039360532996147946, 0.048200955619470465]","[0.031125695408344478, 0.04037612288011133]",1860
210,adc_b2_ch10,bt_p26,1.0420207031275766,0.4785283253423112,57.38218218238427,27,"[0.04618382400895893, 0.044730070489404694]","[0.027111445190368733, 0.039860322998713504]",1760
211,adc_b2_ch11,bt_p27,0.9837563245208959,0.38252675842552786,34.63193243901935,27,"[0.028830884026591952, 0.03631467654263043]","[0.02649366693868216, 0.03376643825518311]",1750
212,adc_b2_ch12,bt_p28,1.0234929700635975,0.46986960403829137,47.91409097269841,28,"[0.04543763803747913, 0.050153037833108094]","[0.031008698081445463, 0.04392839147861649]",1930
213,adc_b2_ch13,bt_p29,1.0060278332949986,0.3777132003958404,34.97868919685801,28,"[0.02495541046204275, 0.03203633363342706]","[0.023416881305058312, 0.03152028645271082]",1860
214,adc_b2_ch14,bt_p30,0.9662284234188365,0.33945726388001873,78.31118811346018,28,"[0.018632689222556786, 0.025287744560135605]","[0.01816523169597206, 0.027229718570209616]",1910
300,adc_b3_ch0,b1_p1,0.9387648203900179,0.3772773920882007,65.18975236812592,28,"[0.025816495337341427, 0.048593352158239345]","[0.03425869385249153, 0.03466166958256617]",1960
301,adc_b3_ch1,b1_p2,0.9821682897590763,0.43377195527204604,40.10579649989166,28,"[0.038718896272841974, 0.04212960461097304]","[0.02985756363269354, 0.039282784340508914]",2120
302,adc_b3_ch2,b1_p3,1.1072982011507138,0.45710426320417885,13.873844368587033,28,"[0.06638123426634368, 0.06009041396789283]","[0.04585968827159842, 0.05586163397220267]",2040
303,adc_b3_ch3,b1_p4,0.8764354220517512,0.3029249363560378,86.89177360451914,28,"[0.01902185101248932, 0.06197924642482033]","[0.03790721745385539, 0.031676400586668874]",1910
