ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,0.9798987148057774,0.48302883161546245,38.76912167702691,28,"[0.10834767730917338, 0.09815399309850004]","[0.06053338308804007, 0.10112973935845587]",2100
102,adc_b1_ch2,bt_p2,0.9749555079950363,0.40340012026426,26.497397336751227,27,"[0.05034742828614536, 0.05266328312597235]","[0.03836659163829231, 0.05391512532645654]",1870
103,adc_b1_ch3,bt_p3,0.9800280072165257,0.3898316183060375,39.655131050589006,28,"[0.04084574522854778, 0.054697269050060005]","[0.03961011880950782, 0.05017440338762552]",1850
104,adc_b1_ch4,bt_p4,0.9707614069818941,0.3696651073655112,61.88123912556457,28,"[0.04156105613414618, 0.0467777491171536]","[0.034221774389443294, 0.05687459224802316]",2200
105,adc_b1_ch5,bt_p5,1.0059188512894703,0.4330839415572396,30.2833867870468,28,"[0.05569601212812625, 0.06693465171538815]","[0.04490364658937751, 0.06027463731298188]",1790
106,adc_b1_ch6,bt_p6,1.004533206650491,0.3936671129321455,41.355966327852734,28,"[0.044645535935939784, 0.057253856271344494]","[0.04272696188791436, 0.05340720063903359]",1680
107,adc_b1_ch7,bt_p7,1.0006575134593463,0.467729843896032,19.570500906199914,27,"[0.07539205341869326, 0.07526677698219086]","[0.04755377120787441, 0.06616704380432314]",2000
108,adc_b1_ch8,bt_p8,0.9330724551846354,0.39428846907392745,40.111797504708335,28,"[0.040256065853831124, 0.06553421580930396]","[0.04362465956504896, 0.05378028297503418]",1960
109,adc_b1_ch9,bt_p9,0.9420746475179915,0.3991591792300128,33.09604719400309,27,"[0.03758728925388377, 0.051048973300196976]","[0.0348691757368747, 0.04418792488576878]",2010
110,adc_b1_ch10,bt_p10,0.9710915162850942,0.33963322142905505,49.40289310790525,28,"[0.024532910848161782, 0.035654840755639405]","[0.02686033610026234, 0.033607810073355504]",1800
111,adc_b1_ch11,bt_p11,0.9545213139454037,0.39028463731331664,33.41036880257449,27,"[0.0346150488152982, 0.04767292797277756]","[0.03414156838557808, 0.04053752939135352]",1850
112,adc_b1_ch12,bt_p12,0.9616757422417547,0.35893938878092374,43.97787004920157,28,"[0.043379376089050514, 0.06550428211742532]","[0.04500434810810622, 0.0646119380103845]",1780
113,adc_b1_ch13,bt_p13,0.9907831446481203,0.4617711958579217,40.63464190579622,28,"[0.06174065331676404, 0.08025192444375784]","[0.04658156396204716, 0.06791706171988687]",1930
114,adc_b1_ch14,bt_p14,0.9955655910071392,0.36623838868689024,44.27417623230644,28,"[0.03813943219555205, 0.05532424636225086]","[0.03859876328522266, 0.05482734422923402]",1900
115,adc_b1_ch15,bt_p15,0.9847648657917305,0.4284084112847591,35.64854107235086,27,"[0.04521339467590102, 0.051987022761246005]","[0.03496637866153218, 0.04626230356845462]",1880
200,adc_b2_ch0,bt_p16,0.9656244381650254,0.3822561735007453,45.48001246567553,28,"[0.029824947492069764, 0.0481546383326481]","[0.034804116627181136, 0.037965475972234375]",1750
201,adc_b2_ch1,bt_p17,0.9497477327137743,0.4570816343750822,61.3076964563882,28,"[0.04338957871192051, 0.07165617350228148]","[0.039231631368405795, 0.05249715365510921]",1940
202,adc_b2_ch2,bt_p18,0.972780886822927,0.38041752936377116,43.87509548283135,28,"[0.03318873603592387, 0.04634726061718453]","[0.034590271873149225, 0.04124247049147933]",2000
