ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,1.0351308282728058,0.5223966158088574,33.25578364485693,28,"[0.0376947214318506, 0.04153991931869805]","[0.024702562139765072, 0.02934176548450329]",2100
102,adc_b1_ch2,bt_p2,0.9435309305589318,0.39449558766948567,63.182434123136474,27,"[0.018870168677784016, 0.02748153857635549]","[0.019617631839215888, 0.02154387982588335]",1870
103,adc_b1_ch3,bt_p3,0.9935353596481972,0.4086175295325449,91.13583948160623,28,"[0.016999099541481044, 0.030466589021304613]","[0.019284881879335913, 0.021903585529294223]",1850
104,adc_b1_ch4,bt_p4,0.9742368132604611,0.3610027089050105,58.33800010657839,28,"[0.01653264572471591, 0.022484498521478935]","[0.016354630168746553, 0.02214953449260021]",2200
105,adc_b1_ch5,bt_p5,1.0094362642762087,0.4693143444380477,51.98317826561235,27,"[0.0297634890513212, 0.03541811644782489]","[0.02141905524008486, 0.027233924131742804]",1790
106,adc_b1_ch6,bt_p6,0.9895427169265671,0.38244234392656706,102.94035892171146,28,"[0.016580498404004107, 0.03500331244538657]","[0.021259116499702135, 0.025274014153228164]",1680
107,adc_b1_ch7,bt_p7,0.9931217413100216,0.42765271501029994,37.12924244418356,28,"[0.03687004047918041, 0.03938967886456679]","[0.02858805152069277, 0.037436578766084194]",2000
108,adc_b1_ch8,bt_p8,0.9357298916451109,0.3928973469371495,88.87035985290062,28,"[0.024799750494446604, 0.04796714763587562]","[0.03180420571138887, 0.033602747033427804]",1960
109,adc_b1_ch9,bt_p9,0.9433231843199983,0.42918412283178214,61.43554823393798,27,"[0.024642361914931632, 0.032693601235771474]","[0.02135573462760082, 0.02582203668709898]",2010
110,adc_b1_ch10,bt_p10,0.9826642728608546,0.35385048969758803,75.36559030218072,27,"[0.013280929150254916, 0.020851836799959056]","[0.014378415741953698, 0.018460309208313763]",1800
111,adc_b1_ch11,bt_p11,0.9545511929373361,0.39423376047124287,105.38848221235452,27,"[0.01567530340348189, 0.029307405989154822]","[0.01891884119693077, 0.02001366761913792]",1850
112,adc_b1_ch12,bt_p12,0.9768552219482854,0.36149283072850524,32.93392127231141,27,"[0.02755548244302697, 0.028569870754101445]","[0.023823357176459004, 0.030762413283887735]",1780
113,adc_b1_ch13,bt_p13,0.9998269563508798,0.4107816931890375,34.64754601945206,28,"[0.027308032054509823, 0.03311896978790807]","[0.024476661863757188, 0.029603911391171633]",1930
114,adc_b1_ch14,bt_p14,0.9960625059816973,0.38725352889093273,47.329146884573845,28,"[0.029563948994646316, 0.030160751929802276]","[0.02373653298270989, 0.033592778194350525]",1900
115,adc_b1_ch15,bt_p15,0.9909767094932078,0.45342935156488035,40.78631030281189,28,"[0.02994578500648226, 0.03312754187993083]","[0.023378567183498067, 0.027626699841286795]",1880
200,adc_b2_ch0,bt_p16,0.9987608497918964,0.43396812167602766,62.033151158859205,28,"[0.020498110316143126, 0.02912917404116555]","[0.018918562677435413, 0.02266651734156866]",1750
201,adc_b2_ch1,bt_p17,0.9479514853044246,0.4918733740351599,68.88987701627943,28,"[0.035350973669711294, 0.04051480846479649]","[0.024535126643691008, 0.031605205964081506]",1940
202,adc_b2_ch2,bt_p18,0.9922646841939053,0.3985860938249123,74.23962252539795,28,"[0.017661843460278215, 0.02888029213610621]","[0.01935881861335298, 0.022424116942328598]",2000
203,adc_b2_ch3,bt_p19,1.0025766337831272,0.3710773738133369,91.29113608625539,28,"[0.0145772028295581, 0.024649344091851155]","[0.016845019334330413, 0.02018571224433202]",1820
204,adc_b2_ch4,bt_p20,0.992681130474722,0.4722614469220732,32.65580109514696,28,"[0.03891611405204953, 0.049721287992366636]","[0.030517993586959447, 0.037565596356273934]",2010
