ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,1.0127135191795726,0.4892876769630748,54.27523207225105,28,"[0.06499868603235948, 0.06538213617911537]","[0.03932309256842814, 0.059152622445349745]",2100
102,adc_b1_ch2,bt_p2,0.9255719850946152,0.3933721158463409,87.67275748099958,27,"[0.01981699226347411, 0.04184641149311086]","[0.026536531435496058, 0.026152378978614887]",1870
103,adc_b1_ch3,bt_p3,0.9769086302440286,0.39113522983402316,49.549187160095904,27,"[0.024134311998223135, 0.03443883559931149]","[0.02387896811776624, 0.028832615590334565]",1850
104,adc_b1_ch4,bt_p4,0.9712862130999174,0.36120851562149214,36.85354900764183,28,"[0.025994683676520025, 0.02657371638145145]","[0.02234955643989789, 0.029955570715374913]",2200
105,adc_b1_ch5,bt_p5,0.9991284227582933,0.45258951585512147,24.804648835263976,28,"[0.039226008850986926, 0.04326921312598642]","[0.029895935274304453, 0.036912398715906125]",1790
106,adc_b1_ch6,bt_p6,0.9788067713688594,0.37730486329542223,39.33852589810056,27,"[0.024060383911559957, 0.0346647556788785]","[0.025061158293532948, 0.029206353324854772]",1680
107,adc_b1_ch7,bt_p7,0.9779079558661621,0.42918851218031,56.94764401798075,27,"[0.035581795064482113, 0.04322199367333468]","[0.02739403604812979, 0.0385402587002735]",2000
108,adc_b1_ch8,bt_p8,0.9491810692913198,0.41934425917243623,64.1774435474907,27,"[0.02830381963217321, 0.04564379486612802]","[0.027533544116500774, 0.0341753797644041]",1960
109,adc_b1_ch9,bt_p9,0.9455642204856677,0.41273316993930753,56.14451849281275,27,"[0.023541419385596507, 0.03219215273777987]","[0.021733736716622154, 0.02595326833068673]",2010
110,adc_b1_ch10,bt_p10,0.982724492669552,0.33852182942759756,70.5109008508635,27,"[0.01481383986610807, 0.02261959143889758]","[0.016823815894251748, 0.020078038802872844]",1800
111,adc_b1_ch11,bt_p11,0.9496677367139014,0.3750347285847365,82.91544249309221,27,"[0.01785906245340918, 0.030606185674064368]","[0.02104191127023436, 0.023296606141181397]",1850
