ch_id,ch_name,pmt,spe_mean,spe_width,chi2,dof,spe_mean_err,spe_width_err,HV
101,adc_b1_ch1,bt_p1,0.9720515389885646,0.4174773090772094,26.550945801158864,28,"[0.05577375193134759, 0.06514045644244726]","[0.04523477740108123, 0.06312229393991192]",2100
102,adc_b1_ch2,bt_p2,0.9902112597446231,0.41469837307372437,48.85713596630445,27,"[0.04485095300016606, 0.048834365677807856]","[0.03496106737109872, 0.046857321969771215]",1870
103,adc_b1_ch3,bt_p3,0.9878181647164801,0.37741938886572435,43.15760803767551,27,"[0.03011441123131542, 0.037453544775796876]","[0.02645091633697927, 0.03753116084652597]",1850
104,adc_b1_ch4,bt_p4,0.9797785873327265,0.3913847733865322,30.504340329778753,27,"[0.03367100873074058, 0.03340626909842115]","[0.027154946359078336, 0.03421391855974498]",2200
105,adc_b1_ch5,bt_p5,1.01590032449399,0.4817663029833993,36.075601967349876,27,"[0.04751847934634257, 0.04978332951463371]","[0.031088099598950092, 0.03963015959752669]",1790
106,adc_b1_ch6,bt_p6,1.0129442402736235,0.41601254137149096,64.12626199891673,27,"[0.036869512218128175, 0.0424237461114354]","[0.02779722471108642, 0.041241965962075355]",1680
107,adc_b1_ch7,bt_p7,1.0210111987315886,0.4423517124952536,44.25100348282973,27,"[0.05280111640953722, 0.04753390412382541]","[0.03422798971654406, 0.0469715204964366]",2000
108,adc_b1_ch8,bt_p8,0.9289489525981954,0.39881191419830747,63.01519678287848,28,"[0.029007715408184365, 0.04833784139114117]","[0.03180831719229976, 0.038441388885356254]",1960
109,adc_b1_ch9,bt_p9,0.9679004603594961,0.44306722886699296,75.11962943256744,28,"[0.029858321455825676, 0.052532658646176955]","[0.029659056595451372, 0.037122835597361126]",2010
110,adc_b1_ch10,bt_p10,1.0819997432576798,0.3813916716852989,81.13995717641065,27,"[0.023627716546653188, 0.04399043179001638]","[0.027043565343041753, 0.034073612025717515]",1800
111,adc_b1_ch11,bt_p11,0.9774667626532324,0.4136770074386508,46.17023516891843,27,"[0.03247700873999404, 0.037032867734645314]","[0.02607574032179366, 0.0341553693733298]",1850
112,adc_b1_ch12,bt_p12,0.9787852875298071,0.4103836793952458,55.962964829867644,27,"[0.03453105157747183, 0.048672183251000645]","[0.030752475731049334, 0.04159818698459794]",1780
113,adc_b1_ch13,bt_p13,1.0166893984160825,0.4059449847499835,54.77076958028466,27,"[0.03346369520667847, 0.04649182576045008]","[0.028809358582644273, 0.041668577765093084]",1930
114,adc_b1_ch14,bt_p14,1.0048675185259066,0.3847008805390432,29.47945285001562,28,"[0.035240030347431284, 0.03957584996141783]","[0.030483271372058918, 0.041049396631004875]",1900
115,adc_b1_ch15,bt_p15,1.008883974930042,0.45451596136805417,38.93459901066966,28,"[0.03686714037684058, 0.0432542520643433]","[0.02924642653029008, 0.03544664121325869]",1880
200,adc_b2_ch0,bt_p16,0.9907173025284668,0.4506116861906224,47.25850600401872,28,"[0.03461557421595263, 0.04090164309195088]","[0.026973718947232272, 0.03468835383349139]",1750
201,adc_b2_ch1,bt_p17,0.9707916477468029,0.5401650655838619,60.70922683195585,28,"[0.0501316941497808, 0.06588616565351557]","[0.03233440478951244, 0.043857090972468926]",1940
202,adc_b2_ch2,bt_p18,0.9886702979681082,0.3995202425893782,73.07429945311979,28,"[0.024416935491371583, 0.04294210074430438]","[0.030157877198633554, 0.029767720711729895]",2000
203,adc_b2_ch3,bt_p19,0.9787809301489041,0.3712650095328652,74.90476598419664,27,"[0.023901482985029365, 0.031226826211079084]","[0.022133367801588533, 0.030449667758776056]",1820
204,adc_b2_ch4,bt_p20,1.0225996155120967,0.4919079289912432,36.796794249693534,28,"[0.06052693930254471, 0.059872516581580326]","[0.03717681842489057, 0.05197849133704163]",2010
205,adc_b2_ch5,bt_p21,1.017541772691794,0.4745062352439035,39.177895198513475,28,"[0.05696389136217861, 0.057462405522314075]","[0.03636848174484447, 0.05241318720902438]",1910
206,adc_b2_ch6,bt_p22,1.0257793270192412,0.39844111326367554,54.932586984751886,28,"[0.03363467882533078, 0.0406574990780586]","[0.027924194842835315, 0.04182245511079136]",1690
207,adc_b2_ch7,bt_p23,1.0051069118647413,0.47908786614925986,35.02029236951307,28,"[0.052246403736111, 0.05835043645884452]","[0.03657343436194982, 0.047992124042814555]",1820
208,adc_b2_ch8,bt_p24,0.9499973847412289,0.400074687741784,133.76170150600683,28,"[0.017685350945964684, 0.057787176818654196]","[0.0329346151789387, 0.027391588194234928]",2140
209,adc_b2_ch9,bt_p25,1.0248978786601985,0.42642559867990293,32.66349046545441,28,"[0.041042144494016775, 0.03846992395869142]","[0.029846408403697455, 0.039203098023169125]",1860
210,adc_b2_ch10,bt_p26,1.045900164895323,0.4683411385980872,28.31543909670607,27,"[0.043191022798817036, 0.04383099563380033]","[0.029221296931878304, 0.03608176282931136]",1760
211,adc_b2_ch11,bt_p27,0.9822522037577816,0.38228145711360423,31.159309338700723,27,"[0.030427904788918436, 0.0354221769580535]","[0.026978328539282503, 0.034223103468101757]",1750
212,adc_b2_ch12,bt_p28,1.0247449910893063,0.5470019448635863,22.152707989201822,27,"[0.06363445286319447, 0.0664425955769925]","[0.036149069567935066, 0.0443621114646906]",1930
213,adc_b2_ch13,bt_p29,1.0085942062857716,0.3733164415039494,38.25137816947125,27,"[0.026641464123198455, 0.029875552837145936]","[0.023941787775285328, 0.02971789360543975]",1860
214,adc_b2_ch14,bt_p30,0.9696012456788006,0.346639492721429,67.85764262376966,28,"[0.017871363502570015, 0.02823457977667254]","[0.0213000066709777, 0.024092756490266487]",1910
300,adc_b3_ch0,b1_p1,0.9295179445127421,0.3783711907625992,76.51157556668547,28,"[0.025038429386678662, 0.053647390903217684]","[0.03644801829962602, 0.03574365298479082]",1960
301,adc_b3_ch1,b1_p2,0.9812840595295542,0.4888214061145511,50.72967792993315,27,"[0.04871314678523908, 0.057006823072740076]","[0.031215173104696514, 0.04434270110093691]",2120
302,adc_b3_ch2,b1_p3,1.1031097025278453,0.41316362902001397,36.37303854045623,28,"[0.060861718838088885, 0.04866659677306928]","[0.04050562006307362, 0.05853613732072188]",2040
303,adc_b3_ch3,b1_p4,0.8800992630474246,0.3164183489071993,39.428586118473014,27,"[0.03628964708703575, 0.03995052267505661]","[0.03764517008101559, 0.040551722907586185]",1910
304,adc_b3_ch4,b2_p1,0.9818379996181387,0.38755323993070456,31.2897473710941,27,"[0.03403469575801432, 0.03229512366806586]","[0.026096686520602375, 0.03508534809126085]",2150
305,adc_b3_ch5,b2_p2,0.9804517691234983,0.4584668534820658,45.23502433715407,28,"[0.03869333264452801, 0.042954224627841264]","[0.028633191395600777, 0.036902048524748154]",2030
306,adc_b3_ch6,b2_p3,1.0002775920991678,0.3599542504765104,31.37992086114908,28,"[0.02839678537975998, 0.029083554423043223]","[0.026325389442961256, 0.030642467703376086]",1870
307,adc_b3_ch7,b2_p4,1.0499374434292539,0.37097689592659283,38.19359045979173,27,"[0.027335929462685593, 0.027659792400943628]","[0.02229733265769729, 0.0304486804685844]",1820
308,adc_b3_ch8,b3_p1,1.0437783870170536,0.36093146088652234,29.4458133850832,28,"[0.026577348837773407, 0.027743551928316013]","[0.021979941717500395, 0.03282947446204465]",1920
309,adc_b3_ch9,b3_p2,0.9876770896629502,0.4107302933079529,59.48893664581914,28,"[0.03067479984822652, 0.03421794259979716]","[0.025025116900309063, 0.03373659010126817]",1840
310,adc_b3_ch10,b3_p3,1.0234302922467844,0.5151220018396648,42.53175585406778,28,"[0.060895640156227726, 0.06467094955483388]","[0.035975851477358156, 0.05201053293110758]",2010
311,adc_b3_ch11,b3_p4,1.0411893892933688,0.4399267118823622,38.13594043316654,28,"[0.0379460982626616, 0.039922665086001174]","[0.028898384012658263, 0.036403237282379874]",1910
312,adc_b3_ch12,b4_p1,1.0244057607000374,0.40198205248691204,32.78998960050442,28,"[0.03844459201453698, 0.03610933183822529]","[0.03009835710988279, 0.03844026982018245]",2000
313,adc_b3_ch13,b4_p2,0.9885518999454953,0.4755936057790225,27.98564483286177,28,"[0.03829115943930905, 0.048397668643891056]","[0.02997859474904091, 0.03607446005748777]",1880
314,adc_b3_ch14,b4_p3,1.0111734405188306,0.3592733062318813,52.41473867074489,27,"[0.02537500166570139, 0.026090566112365376]","[0.019795774975636615, 0.031604165808514384]",1940
315,adc_b3_ch15,b4_p4,1.038591669115306,0.43761931130566134,39.85577737741905,28,"[0.03289452327454656, 0.04153953556630663]","[0.027811957269105236, 0.03460969376369083]",2220
400,adc_b4_ch0,b5_p1,0.9497653846696578,0.4072042252097739,55.98730672261092,28,"[0.030712426673063065, 0.03768400089122992]","[0.02842650345359371, 0.03335997749559444]",1990
401,adc_b4_ch1,b5_p2,1.1271648903956268,0.40800788528855,38.66929319986692,28,"[0.040657309037680944, 0.03742252719106465]","[0.030512186367785354, 0.04079705310510051]",2150
402,adc_b4_ch2,b5_p3,0.9294444075736014,0.34560355864830905,53.63525359019559,28,"[0.02150822688744014, 0.03806619612020379]","[0.02821845462535255, 0.029663391378734416]",1880
403,adc_b4_ch3,b6_p1,0.9819724214475686,0.4860302474986308,39.277027069302136,28,"[0.03938071469917548, 0.04298002776556842]","[0.027328818695563584, 0.03421108294237041]",1980
404,adc_b4_ch4,b6_p2,0.9313810269637559,0.3439081645804927,49.849781747736564,28,"[0.021683288517391652, 0.03576611137110386]","[0.028279435713566226, 0.02791210216375184]",2090
405,adc_b4_ch5,b6_p3,0.9587646789131723,0.4544962652197498,34.47776288405607,28,"[0.053307846347368626, 0.04663740310886322]","[0.034085832878953004, 0.04694343901477788]",2220
406,adc_b4_ch6,b7_p1,0.971181326822165,0.43113585104627306,41.13716297750561,27,"[0.03377437934049421, 0.036724665620403885]","[0.02547896043551967, 0.0328075330988733]",1940
407,adc_b4_ch7,b7_p2,0.9297970532754084,0.3409742167986188,80.12504754057552,28,"[0.019230692498937718, 0.03423423072018594]","[0.026404482273147456, 0.025852979786260055]",1890
408,adc_b4_ch8,b7_p3,0.9596996481193002,0.44141309045368016,26.266070797136674,28,"[0.04166664260926767, 0.05359939077308418]","[0.03641846588261488, 0.04277671108202097]",1440
409,adc_b4_ch9,b8_p1,0.9732864144426687,0.4551360856318394,82.6179799292307,28,"[0.03024574911079636, 0.04024976676347136]","[0.0243277238154348, 0.0326059558416974]",2140
410,adc_b4_ch10,b8_p2,0.9354086824090464,0.38224747824168603,69.576435058342,28,"[0.02755492773337842, 0.040136072657174005]","[0.027069252723993964, 0.037719641750930566]",1970
411,adc_b4_ch11,b8_p3,0.9889254791772809,0.44263925698692186,23.99221897337611,27,"[0.04755552008320851, 0.05303209796116992]","[0.03597929873610439, 0.04478669606140562]",1940
